title,total,sex,labour,combined,begging,other,forced,crime,unknown,male,female,minor,adult
Africa,303,40,124,5,20,57,5,,52,141,162,147,155
South & Central Asia,1049,322,503,129,1,29,14,,51,377,672,209,839
East Asia & Pacific,860,310,439,19,25,64,,,3,245,615,356,504
Europe,1606,635,772,52,36,87,,1,23,562,1010,198,1315
The Near East,696,101,286,7,154,139,,,9,304,383,279,408
Western Hemisphere,984,99,782,54,43,3,2,,1,411,573,798,183
